id_bigger,id_smaller,num_modif_sites,weight_bigger,weight_smaller,difference,adduct,weight_threshold,difference_threshold_rate
CCMSLIB00000853906,CCMSLIB00000854081,1,617.257,485.215,132.04199999999997,M+Na,2000,0.5
CCMSLIB00000847759,CCMSLIB00000847387,1,309.133,295.117,14.015999999999963,M+H,2000,0.5
CCMSLIB00000848750,CCMSLIB00000846916,1,447.128,433.113,14.014999999999986,M+H,2000,0.5
CCMSLIB00000852236,CCMSLIB00000853772,1,591.168,429.137,162.031,M+Na,2000,0.5
CCMSLIB00000848712,CCMSLIB00000847658,1,467.118,453.139,13.978999999999985,M+H,2000,0.5
CCMSLIB00000847155,CCMSLIB00000848928,1,435.128,419.133,15.995000000000005,M+H,2000,0.5
CCMSLIB00000855577,CCMSLIB00000853262,1,498.158,336.105,162.053,M+Na,2000,0.5
CCMSLIB00000853380,CCMSLIB00000853723,1,429.137,387.126,42.011000000000024,M+Na,2000,0.5
CCMSLIB00000854599,CCMSLIB00000854909,1,439.157,307.115,132.04199999999997,M+Na,2000,0.5
CCMSLIB00000849030,CCMSLIB00000845603,1,594.218,432.165,162.05299999999994,M+NH4,2000,0.5
CCMSLIB00000850117,CCMSLIB00000847692,1,370.201,328.191,42.01000000000005,M+NH4,2000,0.5
CCMSLIB00000848278,CCMSLIB00000849017,1,595.165,579.171,15.993999999999915,M+H,2000,0.5
CCMSLIB00000849015,CCMSLIB00000848249,1,481.097,465.102,15.995000000000005,M+H,2000,0.5
CCMSLIB00000845755,CCMSLIB00000845745,1,369.169,339.158,30.010999999999967,M-H2O+H,2000,0.5
CCMSLIB00000847078,CCMSLIB00000848274,1,392.207,376.212,15.995000000000005,M+NH4,2000,0.5
CCMSLIB00005723110,CCMSLIB00005722665,1,503.298,487.303,15.995000000000005,[M+Na]+,2000,0.5
CCMSLIB00000850910,CCMSLIB00000847274,1,890.438,876.459,13.979000000000042,M+NH4,2000,0.5
CCMSLIB00000852534,CCMSLIB00000852361,1,429.139,415.123,14.01600000000002,M-H2O+H,2000,0.5
CCMSLIB00000849090,CCMSLIB00000848653,1,317.065,303.05,14.014999999999986,M+H,2000,0.5
CCMSLIB00000848466,CCMSLIB00000846710,1,755.239,741.223,14.016000000000076,M+H,2000,0.5
CCMSLIB00000846155,CCMSLIB00000845056,1,595.165,449.108,146.05699999999996,M+H,2000,0.5
CCMSLIB00000845561,CCMSLIB00000848273,1,397.149,355.102,42.047000000000025,M+H,2000,0.5
CCMSLIB00000855113,CCMSLIB00000855973,1,342.155,326.16,15.994999999999948,M+H,2000,0.5
CCMSLIB00005721907,CCMSLIB00005722829,1,812.463,782.453,30.00999999999999,[M+NH4]+,2000,0.5
CCMSLIB00000848341,CCMSLIB00000848301,1,423.128,291.086,132.04199999999997,M+H,2000,0.5
CCMSLIB00005722408,CCMSLIB00005722356,1,703.349,661.341,42.00800000000004,[M+Na]+,2000,0.5
CCMSLIB00000846831,CCMSLIB00000847523,1,385.128,371.112,14.015999999999963,M+H,2000,0.5
CCMSLIB00005721909,CCMSLIB00005722356,1,817.419,661.341,156.07799999999997,[M+Na]+,2000,0.5
CCMSLIB00000847993,CCMSLIB00000845612,1,755.239,741.223,14.016000000000076,M+H,2000,0.5
