id_bigger,id_smaller,num_modif_sites,weight_bigger,weight_smaller,difference,adduct,weight_threshold,difference_threshold_rate
CCMSLIB00000085562,CCMSLIB00000085412,1,372.175,268.105,104.07,M+H,2000,0.5
CCMSLIB00000085212,CCMSLIB00000085329,1,463.231,405.22,58.01099999999997,M+H,2000,0.5
CCMSLIB00000084981,CCMSLIB00000085500,1,347.221,331.233,15.988,M+H,2000,0.5
CCMSLIB00000085906,CCMSLIB00000086051,1,370.129,302.071,68.05799999999999,M+H,2000,0.5
CCMSLIB00000084957,CCMSLIB00000085648,1,354.208,340.192,14.01600000000002,M+H,2000,0.5
CCMSLIB00000085054,CCMSLIB00000084784,1,363.215,347.224,15.990999999999985,M+H,2000,0.5
CCMSLIB00000086176,CCMSLIB00000085862,1,325.195,295.183,30.012,M+H,2000,0.5
CCMSLIB00000085678,CCMSLIB00000085147,1,406.201,372.237,33.964,M+H,2000,0.5
CCMSLIB00000085969,CCMSLIB00000084817,1,351.122,271.172,79.94999999999999,M+H,2000,0.5
CCMSLIB00000085678,CCMSLIB00000085649,1,406.201,372.239,33.962000000000046,M+H,2000,0.5
CCMSLIB00000085485,CCMSLIB00000084981,1,361.207,347.221,13.98599999999999,M+H,2000,0.5
CCMSLIB00000086051,CCMSLIB00000084991,1,302.071,286.07,16.001000000000033,M+H,2000,0.5
CCMSLIB00000085335,CCMSLIB00000085412,1,336.162,268.105,68.05699999999996,M+H,2000,0.5
CCMSLIB00000086044,CCMSLIB00000085282,1,249.14,181.069,68.071,M+H,2000,0.5
CCMSLIB00000084932,CCMSLIB00000085905,1,338.179,280.172,58.00699999999995,M+H,2000,0.5
CCMSLIB00000084776,CCMSLIB00000086140,1,414.158,384.151,30.007000000000005,M+H,2000,0.5
CCMSLIB00000085079,CCMSLIB00000086106,1,275.131,241.175,33.95599999999996,M+H,2000,0.5
CCMSLIB00000085336,CCMSLIB00000084766,1,545.011,511.062,33.948999999999955,M+H,2000,0.5
CCMSLIB00000085546,CCMSLIB00000085859,1,414.165,384.149,30.01600000000002,M+H,2000,0.5
CCMSLIB00000086005,CCMSLIB00000085004,1,389.211,359.197,30.01400000000001,M+H,2000,0.5
CCMSLIB00000085275,CCMSLIB00000085282,1,237.132,181.069,56.06300000000002,M+H,2000,0.5
CCMSLIB00000085454,CCMSLIB00000085764,1,285.147,200.054,85.09299999999999,M+H,2000,0.5
CCMSLIB00000085565,CCMSLIB00000085703,1,269.086,255.067,14.019000000000005,M+H,2000,0.5
CCMSLIB00000085500,CCMSLIB00000084845,1,331.233,315.236,15.997000000000014,M+H,2000,0.5
CCMSLIB00000085546,CCMSLIB00000086140,1,414.165,384.151,30.01400000000001,M+H,2000,0.5
CCMSLIB00000086103,CCMSLIB00000085174,1,421.21,403.213,17.996999999999957,M+H,2000,0.5
CCMSLIB00000085535,CCMSLIB00000085526,1,373.097,357.103,15.993999999999971,M+H,2000,0.5
CCMSLIB00000085437,CCMSLIB00000085174,1,417.23,403.213,14.016999999999996,M+H,2000,0.5
CCMSLIB00000085535,CCMSLIB00000086105,1,373.097,357.102,15.995000000000005,M+H,2000,0.5
CCMSLIB00000086051,CCMSLIB00000085225,1,302.071,268.103,33.96800000000002,M+H,2000,0.5
CCMSLIB00000085240,CCMSLIB00000085854,1,371.986,338.03,33.95600000000002,M+H,2000,0.5
CCMSLIB00000085131,CCMSLIB00000085225,1,344.138,268.103,76.03499999999997,M+H,2000,0.5
CCMSLIB00000085116,CCMSLIB00000085776,1,411.2,393.211,17.988999999999976,M+H,2000,0.5
