id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,num_atoms,cosine,matched,shifted,unshifted,weight,delta,peaks,shifted_annotated_ratio,shifted_annotated_ambiguity,shifted_annotated_entropy,sirius_availability
CCMSLIB00000850836,CCMSLIB00000848627,0.0,0.8333333333333334,0.4127343666482805,0.5769230769230769,27,0.5168703136437355,11,5,6,371.113,68.06200000000001,99,0.8,7.75,0.1457706865841116,True
CCMSLIB00000853770,CCMSLIB00000855190,0.0,0.5,0.2532483199831943,0.7037037037037037,28,0.2373823750907091,17,1,16,407.155,130.04200000000003,52,1.0,4.0,0.0165970426414488,True
CCMSLIB00000845720,CCMSLIB00005721171,0.0,0.5,0.0966728498427564,0.5,29,0.708497601567174,17,0,17,401.123,162.055,49,0.0,-1.0,0.0,True
CCMSLIB00000848653,CCMSLIB00000846075,0.0,0.4,0.440526807741206,0.8095238095238095,22,0.1585429084838262,11,0,11,303.05,14.014999999999986,28,0.0,-1.0,0.0,True
CCMSLIB00000848299,CCMSLIB00000848721,1.0,1.0,0.3777822401624538,1.0,16,0.8235493610360993,15,6,9,224.201,28.03100000000001,32,0.8333333333333334,2.4,0.1483337783083271,True
CCMSLIB00000845758,CCMSLIB00000846405,0.0,0.5333333333333333,0.6845736413062877,0.7333333333333333,31,0.4189327956274105,37,4,33,435.128,162.05300000000005,97,0.75,24.33333333333333,0.1017458349080683,True
CCMSLIB00000847659,CCMSLIB00000846010,0.0,0.7692307692307693,0.5584718248887042,0.5,33,0.9884584113974928,8,7,1,463.123,15.995000000000005,8,0.8571428571428571,13.166666666666666,2.267603730256523,True
CCMSLIB00000848557,CCMSLIB00005721178,0.0,0.2666666666666666,0.3990314687985064,0.425,41,0.7381242415488463,52,21,31,579.171,15.99599999999998,99,0.5714285714285714,135.66666666666666,0.3812998615347696,True
CCMSLIB00000848249,CCMSLIB00000845245,0.0,0.3333333333333333,0.1931285618058813,0.15625,33,0.9972256200636344,5,0,5,465.102,162.053,12,0.0,-1.0,0.0,True
CCMSLIB00000848128,CCMSLIB00000847373,0.125,1.0,0.7599409603825453,0.9375,17,0.592034604400861,6,1,5,223.075,15.995000000000005,12,1.0,1.0,0.0,True
CCMSLIB00000846155,CCMSLIB00000847463,0.0,0.4705882352941176,0.6161045805653661,0.975609756097561,42,0.9990897060388864,5,0,5,595.165,162.053,5,0.0,-1.0,0.0,True
CCMSLIB00000847433,CCMSLIB00000848313,0.0,0.3,0.4731695602099608,0.6,21,0.063854569688773,5,0,5,287.055,132.04199999999997,16,0.0,-1.0,0.0,True
CCMSLIB00000854571,CCMSLIB00000848480,0.0,0.25,0.0515716941572495,0.4736842105263157,20,0.8377357841899522,7,0,7,273.112,12.0,85,0.0,-1.0,0.0,True
CCMSLIB00000846667,CCMSLIB00000845662,0.0,0.5833333333333334,0.4121917213415673,0.9629629629629628,28,0.6979848306005016,47,7,40,397.185,14.01600000000002,100,0.4285714285714285,18.0,0.1103062974976555,True
CCMSLIB00000848861,CCMSLIB00000845158,0.0,0.4,0.1061309830426999,0.6451612903225806,32,0.9991623488067618,2,0,2,449.108,146.05699999999996,4,0.0,-1.0,0.0,True
CCMSLIB00000853829,CCMSLIB00000855476,0.0,0.5714285714285714,0.4084868666203185,0.0625,17,0.2486820877181524,29,2,27,233.154,58.005,95,0.0,-1.0,0.0,True
CCMSLIB00000849375,CCMSLIB00000847915,0.0,0.9285714285714286,0.5619741951917967,0.7741935483870968,32,0.9889698909993035,6,2,4,451.135,206.021,7,1.0,2.5,0.6118456575159473,True
CCMSLIB00000847591,CCMSLIB00000849014,0.0,0.8333333333333334,0.7729088104962637,0.7619047619047619,22,0.9930798567041228,12,5,7,301.07,15.995000000000005,12,1.0,6.2,0.8883817725542839,True
CCMSLIB00000846817,CCMSLIB00005721217,0.0,0.75,0.7757471305333695,0.7272727272727273,23,0.3090005983652939,30,11,19,313.143,68.06400000000002,98,0.8181818181818182,3.333333333333333,0.1195609544843813,True
CCMSLIB00000847956,CCMSLIB00000847767,0.0,0.875,0.6445298396332548,0.0625,17,0.8714178503706473,8,6,2,231.101,30.011000000000024,13,0.8333333333333334,1.2,0.0533190138892265,True
CCMSLIB00000845594,CCMSLIB00000849089,0.1666666666666666,1.0,0.8175367391462759,0.7368421052631579,20,0.7411744941998473,4,1,3,273.075,15.995000000000005,13,1.0,1.0,0.0,True
CCMSLIB00000848601,CCMSLIB00000845138,0.0,0.8,0.8266994971813613,0.8333333333333334,31,0.5989702427246641,45,35,10,433.113,15.995000000000005,64,0.9714285714285714,27.5,1.1583362852389996,True
CCMSLIB00000845714,CCMSLIB00000847970,0.25,1.0,0.7555545011664523,0.9473684210526316,20,0.8380836772692389,9,6,3,271.096,30.011000000000024,20,0.5,3.0,0.1200117876853173,True
CCMSLIB00000847866,CCMSLIB00005721518,0.0,0.625,0.5877616038177758,0.3076923076923077,14,0.896230120251088,13,9,4,193.049,15.99599999999998,30,0.8888888888888888,3.375,0.4272029916183669,True
CCMSLIB00000847904,CCMSLIB00000848249,0.0,0.8333333333333334,0.6881067777467976,0.7333333333333333,31,0.9993547958618014,10,0,10,435.092,30.00999999999999,10,0.0,-1.0,0.0,True
CCMSLIB00000846519,CCMSLIB00000845809,0.0,0.8571428571428571,0.1349307805318845,0.9583333333333334,49,0.7909407600068901,52,16,36,706.401,42.00999999999999,65,1.0,33.75,0.8464981165494594,True
CCMSLIB00000847988,CCMSLIB00000847333,0.0,0.6428571428571429,0.8092898887843778,0.85,41,0.1237390094323042,20,17,3,579.171,15.993999999999916,99,0.4705882352941176,30.75,0.5434219596464809,True
CCMSLIB00000848301,CCMSLIB00005721643,0.0,0.6,0.51051782973477,0.3,21,0.7751817162347059,7,5,2,291.086,15.99599999999998,40,0.6,6.0,0.2900939846055216,True
