id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,num_atoms
CCMSLIB00005464298,CCMSLIB00005464153,0.08,0.4800000000000001,0.4023407321139642,0.4899999999999997,11
CCMSLIB00005463959,CCMSLIB00005464082,0.08,0.5640000000000001,0.4637678386559604,0.262222222222222,10
CCMSLIB00005464014,CCMSLIB00005464128,0.04,0.5542857142857145,0.4586812568943758,0.6111111111111117,10
CCMSLIB00005463920,CCMSLIB00005464055,0.06,0.6360000000000002,0.5520603552329233,0.2885714285714287,8
CCMSLIB00005464397,CCMSLIB00005464534,0.12,0.525,0.4347342663025622,0.12,18
CCMSLIB00005464240,CCMSLIB00005463613,0.1,0.522857142857143,0.4125188939087525,0.1,13
CCMSLIB00005464368,CCMSLIB00005464425,0.08,0.565,0.4707841144928033,0.618571428571429,15
CCMSLIB00005463920,CCMSLIB00005463972,0.16,0.4119999999999998,0.3325503417265672,0.16,8
CCMSLIB00005463584,CCMSLIB00005464269,0.08,0.5599999999999998,0.445907913519727,0.4545454545454543,12
CCMSLIB00005463556,CCMSLIB00005463613,0.08,0.5457142857142858,0.4402902886585344,0.1545454545454544,12
CCMSLIB00005463556,CCMSLIB00005464251,0.08,0.5457142857142858,0.4402902886585344,0.1545454545454544,12
CCMSLIB00005464109,CCMSLIB00005464120,0.1,0.5857142857142859,0.4933888453886247,0.7618181818181816,12
CCMSLIB00005464219,CCMSLIB00005464437,0.1,0.5057142857142856,0.3917472897454033,0.7618181818181816,12
CCMSLIB00005464072,CCMSLIB00005464138,0.08,0.56,0.4684145914960557,0.262222222222222,10
CCMSLIB00005464138,CCMSLIB00005464351,0.1,0.5299999999999999,0.4154980736391392,0.1,11
CCMSLIB00005464104,CCMSLIB00005464087,0.14,0.504,0.3760229657057773,0.14,9
CCMSLIB00005463920,CCMSLIB00005464192,0.16,0.4119999999999998,0.3325503417265672,0.16,8
CCMSLIB00005464514,CCMSLIB00005464563,0.12,0.5599999999999999,0.4678065817388529,0.1981818181818183,23
CCMSLIB00005464402,CCMSLIB00005464568,0.12,0.4733333333333334,0.3784338836004549,0.12,19
CCMSLIB00005463940,CCMSLIB00005464104,0.2,0.5479999999999998,0.4378807612777758,0.4942857142857142,8
CCMSLIB00005464008,CCMSLIB00005463984,0.06,0.472,0.400994640687937,0.6775,9
CCMSLIB00005463899,CCMSLIB00005464416,0.04,0.615,0.5268596470278056,0.8290909090909088,12
CCMSLIB00005463920,CCMSLIB00005464188,0.16,0.4119999999999998,0.3325503417265672,0.16,8
CCMSLIB00005464568,CCMSLIB00005464563,0.12,0.5599999999999999,0.4678065817388529,0.1981818181818183,23
CCMSLIB00005463994,CCMSLIB00005464219,0.1,0.6685714285714286,0.5971112089868587,0.8111111111111114,10
CCMSLIB00005464053,CCMSLIB00005464040,0.08,0.3799999999999999,0.2984692390387093,0.5285714285714284,8
CCMSLIB00005463873,CCMSLIB00005464584,0.04,0.7116666666666666,0.6602254725337944,0.4616666666666665,25
CCMSLIB00005463936,CCMSLIB00005464072,0.12,0.556,0.4516003648816164,0.2228571428571427,8
CCMSLIB00005464240,CCMSLIB00005463566,0.04,0.517142857142857,0.4064416312631045,0.765,13
CCMSLIB00005463885,CCMSLIB00005463907,0.02,0.5692307692307693,0.4708000813290037,0.4381818181818181,23
CCMSLIB00005464008,CCMSLIB00005464257,0.08,0.6239999999999999,0.5327633200074949,0.4775,9
CCMSLIB00005464234,CCMSLIB00005464469,0.04,0.37,0.2450198710647596,0.9127272727272724,12
CCMSLIB00005464120,CCMSLIB00005464425,0.08,0.5285714285714286,0.4217110922418781,0.1483333333333332,13
CCMSLIB00005464109,CCMSLIB00005464407,0.08,0.5457142857142858,0.4402902886585344,0.1545454545454544,12
CCMSLIB00005463927,CCMSLIB00005463972,0.12,0.5600000000000002,0.468849410299342,0.2228571428571427,8
CCMSLIB00005464568,CCMSLIB00005464489,0.12,0.5599999999999999,0.4678065817388529,0.1981818181818183,23
CCMSLIB00005464250,CCMSLIB00005464484,0.04,0.58,0.4777772367569941,0.9199999999999996,13
CCMSLIB00005464109,CCMSLIB00005464204,0.1,0.4314285714285713,0.329043342595366,0.1,12
CCMSLIB00005463890,CCMSLIB00005464584,0.04,0.6916666666666668,0.624506004511483,0.2325,25
CCMSLIB00005464109,CCMSLIB00005464327,0.08,0.5457142857142858,0.4402902886585344,0.1545454545454544,12
CCMSLIB00005463985,CCMSLIB00005464388,0.12,0.5111111111111112,0.4315788168801623,0.12,10
CCMSLIB00005463552,CCMSLIB00005464419,0.04,0.431111111111111,0.3199638725516223,0.816,16
CCMSLIB00005464146,CCMSLIB00005464456,0.04,0.37,0.2450198710647596,0.9127272727272724,12
CCMSLIB00005463920,CCMSLIB00005463964,0.12,0.5480000000000002,0.4434077802678298,0.2228571428571427,8
CCMSLIB00005463936,CCMSLIB00005464097,0.16,0.6360000000000001,0.5568348833802423,0.8799999999999996,8
CCMSLIB00005464120,CCMSLIB00005463552,0.1,0.4142857142857142,0.3179543077445682,0.1,13
CCMSLIB00005464534,CCMSLIB00005464498,0.04,0.5727272727272728,0.4639779849037027,0.0836363636363636,23
CCMSLIB00005464443,CCMSLIB00005464589,0.06,0.5266666666666666,0.4059678624166946,0.4484210526315786,20
CCMSLIB00005464384,CCMSLIB00005464404,0.06,0.4355555555555554,0.3129104924267352,0.8786666666666669,16
